,it,test,train,diff,layer,rad_complexity,num_histograms
0,0,53.52798053527981,49.66207082995404,-3.8659097053257696,0,0.0009732360097323601,2889
1,1,53.52798053527981,49.66207082995404,-3.8659097053257696,0,0.0009732360097323601,2889
2,0,53.52798053527981,49.743173830765066,-3.784806704514743,1,2149617.0,3906
3,1,53.52798053527981,49.743173830765066,-3.784806704514743,1,2180861.25,3906
4,0,53.52798053527981,49.71613949716139,-3.8118410381184162,2,824516.1875,4027
5,1,53.52798053527981,49.71613949716139,-3.8118410381184162,2,1025811.75,4027
6,0,53.284671532846716,49.63503649635037,-3.649635036496349,3,2065382.125,4039
7,1,53.52798053527981,49.68910516355772,-3.8388753717220894,3,2121309.25,4039
8,0,53.284671532846716,49.49986482833198,-3.784806704514736,4,1896502.375,4039
9,1,53.04136253041363,49.3646931603136,-3.6766693701000293,4,1893879.0,4039
10,0,52.311435523114355,48.44552581778859,-3.8659097053257625,5,1411078.875,4039
11,1,51.58150851581509,47.90483914571506,-3.6766693701000293,5,1400371.875,4039
12,0,46.228710462287104,36.90186536901866,-9.326845093268446,6,1148985.5,4039
13,1,52.311435523114355,47.2830494728305,-5.028386050283856,6,1193031.25,4039
